Corridor_ID,Location,Type,Direction,Movement,Distance_m,Latitude,Longitude
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,0.00,-6.21965570,106.56317450
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,5.00,-6.21966801,106.56321800
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,10.00,-6.21968032,106.56326151
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,15.00,-6.21969263,106.56330501
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,20.00,-6.21970495,106.56334852
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,25.00,-6.21971726,106.56339202
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,30.00,-6.21972957,106.56343552
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,35.00,-6.21974188,106.56347903
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,40.00,-6.21975419,106.56352253
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,45.00,-6.21976650,106.56356604
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,50.00,-6.21977882,106.56360954
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,55.00,-6.21976628,106.56365012
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,60.00,-6.21974433,106.56368960
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,65.00,-6.21972238,106.56372908
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,70.00,-6.21971156,106.56377279
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,75.00,-6.21970981,106.56381779
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,80.00,-6.21971772,106.56386224
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,85.00,-6.21972860,106.56390613
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,90.00,-6.21973948,106.56395002
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,95.00,-6.21975036,106.56399391
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,100.00,-6.21976124,106.56403779
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,105.00,-6.21977212,106.56408168
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,110.00,-6.21978300,106.56412557
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,115.00,-6.21979388,106.56416946
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,120.00,-6.21980476,106.56421335
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,125.00,-6.21981537,106.56425730
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,130.00,-6.21982587,106.56430128
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,135.00,-6.21983638,106.56434527
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,140.00,-6.21984688,106.56438925
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,145.00,-6.21985738,106.56443323
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,150.00,-6.21986788,106.56447721
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,155.00,-6.21987838,106.56452119
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,160.00,-6.21988888,106.56456517
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,165.00,-6.21989938,106.56460916
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,170.00,-6.21990988,106.56465314
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,175.00,-6.21992038,106.56469712
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,180.00,-6.21993037,106.56474121
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,185.00,-6.21993904,106.56478560
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,190.00,-6.21994772,106.56482998
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,195.00,-6.21995640,106.56487436
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,200.00,-6.21996508,106.56491874
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,205.00,-6.21997325,106.56496322
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,210.00,-6.21998125,106.56500773
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,215.00,-6.21998925,106.56505224
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,220.00,-6.21999725,106.56509675
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,225.00,-6.22000397,106.56514143
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,230.00,-6.22000721,106.56518654
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,235.00,-6.22001044,106.56523166
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,240.00,-6.22001368,106.56527677
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,245.00,-6.22001067,106.56532167
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,250.00,-6.22000434,106.56536645
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,255.00,-6.21999802,106.56541123
